날짜,전체거래의 이익,전체거래의 이익 누적,매수거래의 이익,매수거래의 이익 누적,매도거래의 이익,매도거래의 이익누적,전체거래의 거래횟수,매수거래의 거래횟수,매도거래의 거래횟수,가격
2014-07-25,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,101.890000
2014-07-28,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,101.570000
2014-07-29,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,101.040000
2014-07-30,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,99.420000
2014-07-31,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.650000
2014-08-01,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.620000
2014-08-04,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,98.400000
2014-08-05,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.580000
2014-08-07,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.630000
2014-08-08,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.350000
2014-08-11,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.850000
2014-08-12,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.150000
2014-08-13,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.330000
2014-08-14,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,95.500000
2014-08-15,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,97.240000
2014-08-18,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,96.640000
2014-08-19,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,94.570000
2014-08-20,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,96.070000
2014-08-21,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,93.900000
2014-08-22,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,93.360000
2014-08-25,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,93.320000
2014-08-26,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,93.850000
2014-08-27,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,0.00,93.700000
